 ,Soil,Month,State,Rice,Wheat,Cotton,Sugarcane,Tea,Ragi,Maize,Millet,Barley,Target
0,1,1,1,1,0,0,0,0,0,0,0,0,1
1,1,1,2,1,0,0,0,0,0,0,0,0,1
2,1,1,3,1,0,0,0,0,0,0,0,0,1
3,1,1,4,1,0,0,0,0,0,0,0,0,1
4,1,1,5,1,0,0,0,0,0,0,0,0,1
5,1,1,6,1,0,0,0,0,0,0,0,0,1
6,1,1,7,1,0,0,0,0,0,0,0,0,1
7,1,1,8,1,0,0,0,0,0,0,0,0,1
8,1,1,9,1,0,0,0,0,0,0,0,0,1
9,1,1,10,1,0,0,0,0,0,0,0,0,1
10,1,1,11,1,0,0,0,0,0,0,0,0,1
11,1,1,12,1,0,0,0,0,0,0,0,0,1
12,1,1,13,1,0,0,0,0,0,0,0,0,1
13,1,1,14,1,0,0,0,0,0,0,0,0,1
14,1,1,15,1,0,0,0,0,0,0,0,0,1
15,1,1,16,1,0,0,0,0,0,0,0,0,1
16,1,1,17,1,0,0,0,0,0,0,0,0,1
17,1,1,18,1,0,0,0,0,0,0,0,0,1
18,1,2,1,0,0,0,1,0,0,0,0,0,4
19,1,2,7,0,0,0,1,0,0,0,0,0,4
20,1,2,10,0,0,0,1,0,0,0,0,0,4
21,1,2,13,0,0,0,1,0,0,0,0,0,4
22,1,2,14,0,0,0,1,0,0,0,0,0,4
23,1,2,18,0,0,0,1,0,0,0,0,0,4
24,1,3,1,0,0,0,1,0,0,0,0,0,4
25,1,3,7,0,0,0,1,0,0,0,0,0,4
26,1,3,10,0,0,0,1,0,0,0,0,0,4
27,1,3,13,0,0,0,1,0,0,0,0,0,4
28,1,3,14,0,0,0,1,0,0,0,0,0,4
29,1,3,18,0,0,0,1,0,0,0,0,0,4
30,1,4,1,0,0,1,1,0,0,0,0,0,34
31,1,4,4,0,0,1,0,0,0,0,0,0,3
32,1,4,5,0,0,1,0,0,0,0,0,0,3
33,1,4,7,0,0,1,1,0,0,0,0,0,34
34,1,4,9,0,0,1,0,0,0,0,0,0,3
35,1,4,10,0,0,1,1,0,0,0,0,0,34
36,1,4,11,0,0,1,0,0,0,0,0,0,3
37,1,4,12,0,0,1,0,0,0,0,0,0,3
38,1,4,19,0,0,1,0,0,0,0,0,0,3
39,1,4,13,0,0,1,1,0,0,0,0,0,34
40,1,4,14,0,0,0,1,0,0,0,0,0,4
41,1,4,18,0,0,0,1,0,0,0,0,0,4
42,1,5,1,1,0,1,1,0,0,0,0,0,134
43,1,5,2,1,0,0,0,0,0,0,0,0,1
44,1,5,3,1,0,0,0,0,0,0,0,0,1
45,1,5,4,1,0,1,0,0,0,0,0,0,13
46,1,5,5,1,0,1,0,0,0,0,0,0,13
47,1,5,6,1,0,0,0,0,0,0,0,0,1
48,1,5,7,1,0,1,1,0,0,0,0,0,134
49,1,5,8,1,0,0,0,0,0,0,0,0,1
50,1,5,9,1,0,1,0,0,0,0,0,0,13
51,1,5,10,1,0,1,1,0,0,0,0,0,134
52,1,5,11,1,0,1,0,0,0,0,0,0,13
53,1,5,12,1,0,1,0,0,0,0,0,0,13
54,1,5,19,0,0,1,0,0,0,0,0,0,3
55,1,5,13,1,0,1,1,0,0,0,0,0,134
